event_index,time,event_type,price_at_crossover,sma_at_crossover,price_vs_sma_pct,sma_slope,candle_body,volatility,reverted,candles_to_reversion,max_adverse_move,max_favorable_move,max_adverse_move_pct,max_favorable_move_pct,event_type_bullish
22591,2025-05-02 11:15:00,bullish,3262.131,3261.39325,0.02262070052422467,-0.5177499999999782,3.2839999999996508,1.2447731594644311,True,9.0,-0.14399999999977808,5.986000000000331,-0.004414292375130799,0.1834996816498274,1
22600,2025-05-02 12:00:00,bearish,3261.987,3262.3674,-0.011660244030148436,0.8016999999999825,0.6970000000001164,2.425250609470333,True,1.0,0.44099999999980355,0.0,0.013519367183247621,0.0,0
22601,2025-05-02 12:05:00,bullish,3262.428,3262.3438,0.002580966481821519,0.7115500000004431,0.34999999999990905,2.510369159846223,True,2.0,-0.38999999999987267,0.4130000000000109,-0.011954286807245177,0.012659283208702566,1
22603,2025-05-02 12:15:00,bearish,3262.038,3262.6017500000003,-0.017279154588826375,0.42865000000028886,0.7820000000001528,0.38264516020978917,True,14.0,0.0,-18.978999999999814,0.0,-0.5818141910057398,0
22617,2025-05-02 13:25:00,bullish,3257.463,3256.2187999999996,0.03820996304058396,-4.2335000000002765,1.0140000000001237,6.844778354190019,True,1.0,-6.105000000000018,0.0,-0.18741578952700363,0.0,1
22618,2025-05-02 13:30:00,bearish,3251.358,3255.5721000000003,-0.12944268689365362,-3.7503499999997985,6.019999999999982,5.711162387647224,True,8.0,3.156999999999698,-7.7960000000002765,0.09709788955875354,-0.2397767332911441,0
22626,2025-05-02 14:10:00,bullish,3252.186,3250.98865,0.03683033467374208,-3.0713000000000648,7.76700000000028,3.7315095226817836,True,14.0,0.0,11.022999999999683,0.0,0.3389412536675234,1
22640,2025-05-02 15:20:00,bearish,3252.622,3254.90675,-0.07019402322356111,1.2024499999997715,3.911000000000058,4.650476999028567,True,22.0,0.0,-27.717999999999847,0.0,-0.8521740306743252,0
22662,2025-05-02 17:10:00,bullish,3231.685,3231.1796000000004,0.015641346584372898,-6.3429999999993925,2.4149999999999636,2.684040297178108,True,5.0,-1.8589999999999236,7.269999999999982,-0.05752417082729051,0.22496004406369996,1
22667,2025-05-02 17:35:00,bearish,3229.826,3231.236,-0.043636552699953035,0.05639999999948486,6.1159999999999854,3.3023575241366663,True,2.0,3.04300000000012,-0.47699999999986176,0.09421560170734027,-0.014768597441467798,0
22669,2025-05-02 17:45:00,bullish,3232.869,3231.3007000000002,0.04853463498460259,0.10744999999997162,3.6260000000002037,3.012260001579568,True,2.0,-1.4290000000000873,0.250999999999749,-0.044202224092596616,0.007764001572589207,1
22671,2025-05-02 17:55:00,bearish,3231.44,3231.7308000000003,-0.008998274237452497,0.4060500000000502,1.6449999999999818,1.7154208571232736,True,13.0,0.009000000000014552,-6.313000000000102,0.0002785136038427002,-0.1953618201173502,0
22684,2025-05-02 19:00:00,bullish,3230.522,3229.68755,0.02583686462177536,-1.140599999999722,4.041999999999916,2.098061418758594,True,1.0,-1.4110000000000582,0.0,-0.04367715186586125,0.0,1
22685,2025-05-02 19:05:00,bearish,3229.111,3229.3790999999997,-0.008301905465350186,-1.3648000000002867,1.4480000000003201,1.5981497166789649,True,2.0,0.9090000000001055,-0.1069999999999709,0.028150162691840123,-0.0033136055093792344,0
22687,2025-05-02 19:15:00,bullish,3230.02,3229.0448,0.030200881697270313,-1.4578499999997803,1.0619999999998981,1.568736535224707,True,1.0,-2.0590000000001965,0.0,-0.0637457353205304,0.0,1
22688,2025-05-02 19:20:00,bearish,3227.961,3228.9754,-0.03141553819208481,-1.1338000000000648,2.0710000000003674,0.9906004830220168,True,2.0,1.4700000000002547,0.0,0.04553958365668776,0.0,0
22690,2025-05-02 19:30:00,bullish,3229.431,3228.5678,0.02673631323462476,-0.8112999999998465,0.9690000000000509,0.8142784026034605,True,28.0,0.0,13.019999999999982,0.0,0.40316699752990487,1
22718,2025-05-04 22:55:00,bearish,3239.53,3240.28475,-0.023292705988250062,1.7862999999997555,0.6609999999996035,1.2904188147733675,True,1.0,1.9259999999999309,0.0,0.05945306880936218,0.0,0
22719,2025-05-04 23:00:00,bullish,3241.456,3240.35845,0.03387125273131297,1.4109000000003107,1.8550000000000182,1.152736100550646,True,18.0,0.0,9.19900000000007,0.0,0.2837922217670105,1
22737,2025-05-05 00:30:00,bearish,3245.072,3245.5179500000004,-0.013740487862661991,1.0262000000002445,0.3710000000000946,0.4894453163924186,True,3.0,2.2029999999999745,-2.675999999999931,0.06788755380466055,-0.08246350158024016,0
